Team	RPREC	NDCG	CLICKS	DATE
JKU-Beta	0.054551	0.136979	13.1972	2018-06-2319:16:49
JKU-Beta	0.075131	0.202909	6.251	2018-06-2410:46:43
JKU-Beta	0.049645	0.119369	13.1324	2018-06-2522:17:17
JKU-Beta	0.075131	0.202909	6.251	2018-06-2718:27:11
JKU-Delta	0.00024	0.001239	47.2752	2018-05-0617:41:03
JKU-Delta	0.020253	0.089633	13.7808	2018-05-2913:43:06
JKU-Delta	0.031829	0.089633	13.7808	2018-05-2913:43:06
JKU-Delta	0.029608	0.061794	22.6366	2018-06-2419:51:06
JKU-Delta	0.031763	0.066897	22.0152	2018-06-3016:08:10
JKU-Zeta	0.008664	0.034732	23.944799	2018-05-1114:47:47
JKU-Zeta	0.047426	0.134321	11.7148	2018-05-1321:37:08
JKU-Zeta	0.066394	0.134321	11.7148	2018-05-1321:37:08
JKU-Zeta	0.021482	0.049525	16.1556	2018-06-2307:57:10
JKU-Zeta	0.028465	0.050775	17.3778	2018-06-2500:55:30
JKU-Zeta	0.122112	0.194369	7.5032	2018-06-2723:55:14
JKU_Gamma	0.034829	0.100697	13.518	2018-05-0211:41:33
JKU_Gamma	0.026523	0.076295	22.145	2018-05-3013:19:03
JKU_Gamma	0.029505	0.087116	19.496201	2018-06-0410:56:38
JKU_Gamma	0.034864	0.100786	17.347601	2018-06-0508:43:08
JKU_Gamma	0.039634	0.112926	16.0762	2018-06-0710:04:24
JKU_Gamma	0.05176	0.114433	11.8848	2018-06-1014:12:41
JKU_Gamma	0.05176	0.114433	11.8848	2018-06-1118:30:59
JKU_Gamma	0.051983	0.125591	13.0318	2018-06-1314:23:28
JKU_Gamma	0.052591	0.123067	14.604	2018-06-1616:09:44
JKU_Gamma	0.041115	0.069365	18.830999	2018-06-2112:49:22
JKU_Gamma	0.06959	0.1593	8.0596	2018-06-2211:12:45
JKU_Gamma	0.066634	0.143915	11.1296	2018-06-2307:59:28
JKU_Gamma	0.052659	0.123487	14.4868	2018-06-2405:58:05
JKU_Gamma	0.058739	0.135093	9.5228	2018-06-2515:58:24
JKU_Gamma	0.066639	0.153373	8.4074	2018-06-2617:39:13
JKU_Gamma	0.036401	0.109829	17.1654	2018-06-2704:20:24
JKU_Gamma	0.074706	0.166935	7.6856	2018-06-2814:25:53
JKU_Gamma	0.076144	0.169287	7.4992	2018-06-2919:15:49
JimiLab	0.140923	0.28065	3.983	2018-05-0914:57:36
JimiLab	0.13624	0.267023	4.0162	2018-05-1013:55:46
JimiLab	0.142778	0.28864	4.245	2018-05-2213:39:40
JimiLab	0.168862	0.294779	4.0608	2018-06-0915:06:37
JimiLab	0.17186	0.302008	3.7044	2018-06-2723:52:29
JimiLab	0.168475	0.298428	3.218	2018-06-2818:56:38
JimiLab	0.167954	0.297183	3.4624	2018-06-2920:02:08
JimiLab	0.168377	0.298522	3.2318	2018-07-0101:51:39
KAENEN	0.166216	0.343725	3.0888	2018-05-0919:50:31
KAENEN	0.170096	0.349285	2.1802	2018-05-1503:28:44
KAENEN	0.17114	0.350709	2.7702	2018-05-1719:03:37
KAENEN	0.171852	0.353547	2.3878	2018-05-1822:05:48
KAENEN	0.171674	0.355447	2.2806	2018-05-1921:35:02
KAENEN	0.172291	0.356585	2.3004	2018-05-2419:07:29
KAENEN	0.166959	0.347732	2.3248	2018-05-2816:06:50
KAENEN	0.172597	0.354897	2.4496	2018-06-0411:13:43
KAENEN	0.19631	0.354897	2.4496	2018-06-0411:13:43
KAENEN	0.194917	0.351003	2.3874	2018-06-1607:15:56
KAENEN	0.200209	0.360924	2.3806	2018-06-2114:53:29
KAENEN	0.199472	0.360926	2.3404	2018-06-2212:00:46
KAENEN	0.20217	0.365015	2.3934	2018-06-2312:29:19
KAENEN	0.206682	0.371058	2.2558	2018-06-2410:02:04
KAENEN	0.203917	0.368471	2.3382	2018-06-2621:10:56
KAENEN	0.207519	0.372593	2.2956	2018-06-2720:58:21
KAENEN	0.207631	0.373406	2.2598	2018-06-2820:36:57
KAENEN	0.208904	0.375163	2.122	2018-06-2920:55:24
KSICUNI.cz	0.034829	0.1007	13.5178	2018-05-1714:12:48
KSICUNI.cz	0.085098	0.202516	5.3244	2018-05-1921:23:12
KSICUNI.cz	0.096517	0.216929	6.1168	2018-06-0723:04:22
KSICUNI.cz	0.112635	0.210201	4.5056	2018-06-1022:45:25
KSICUNI.cz	0.112634	0.21023	4.5246	2018-06-1123:25:02
KSICUNI.cz	0.133688	0.252802	3.9586	2018-06-1404:58:53
KSICUNI.cz	0.141399	0.254355	3.5824	2018-06-1421:20:47
KSICUNI.cz	0.082811	0.148056	8.7168	2018-06-1719:01:15
